assay,cell_line,condition,condition_name,model_interpretation,biological_replicate,gene,feature_class,housekeeping_gene,housekeeping_Ct,target_Ct,delta_Ct,delta_delta_Ct,relative_expression_2ddct,log2_relative_expression
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,B2M,responder,GAPDH,18.066,22.19,4.124,-1.306,2.473,1.306
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,STAT1,responder,GAPDH,18.066,24.049,5.983,-1.8,3.482,1.8
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,IFIT1,responder,GAPDH,18.066,26.349,8.283,-1.358,2.563,1.358
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,CD274,checkpoint,GAPDH,18.066,26.607,8.541,-2.13,4.377,2.13
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,SPP1,exclusion,GAPDH,18.066,23.528,5.462,-3.46,11.004,3.46
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,TGFB1,exclusion,GAPDH,18.066,24.793,6.727,-2.6,6.064,2.6
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,CA9,exclusion,GAPDH,18.066,24.417,6.351,-3.596,12.088,3.596
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep3,VEGFA,exclusion,GAPDH,18.066,23.759,5.693,-1.998,3.995,1.998
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,CXCL10,responder,GAPDH,18.526,27.229,8.703,-3.029,8.162,3.029
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,CXCL9,responder,GAPDH,18.526,28.653,10.127,-1.819,3.529,1.819
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,CXCL11,responder,GAPDH,18.526,28.732,10.206,-2.103,4.296,2.103
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,HLA-A,responder,GAPDH,18.526,23.976,5.45,-0.772,1.707,0.771
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,B2M,responder,GAPDH,18.526,23.915,5.389,-0.041,1.029,0.041
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,STAT1,responder,GAPDH,18.526,25.555,7.029,-0.754,1.686,0.754
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,IFIT1,responder,GAPDH,18.526,27.466,8.94,-0.701,1.626,0.701
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,CD274,checkpoint,GAPDH,18.526,27.422,8.896,-1.775,3.422,1.775
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,SPP1,exclusion,GAPDH,18.526,25.012,6.486,-2.436,5.411,2.436
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,TGFB1,exclusion,GAPDH,18.526,25.386,6.86,-2.467,5.53,2.467
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,CA9,exclusion,GAPDH,18.526,25.257,6.731,-3.216,9.289,3.216
tumor_qPCR,A549,G4,IFN + exclusion cocktail,exclusion-like / scTIME-AI-low,BioRep4,VEGFA,exclusion,GAPDH,18.526,24.874,6.348,-1.343,2.537,1.343
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,CXCL10,responder,GAPDH,18.387,26.878,8.491,-3.241,9.454,3.241
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,CXCL9,responder,GAPDH,18.387,27.902,9.515,-2.431,5.394,2.431
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,CXCL11,responder,GAPDH,18.387,28.537,10.15,-2.159,4.466,2.159
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,HLA-A,responder,GAPDH,18.387,24.106,5.719,-0.503,1.417,0.503
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,B2M,responder,GAPDH,18.387,23.643,5.256,-0.174,1.128,0.174
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,STAT1,responder,GAPDH,18.387,24.639,6.252,-1.531,2.89,1.531
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,IFIT1,responder,GAPDH,18.387,26.575,8.188,-1.453,2.738,1.453
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,CD274,checkpoint,GAPDH,18.387,27.272,8.885,-1.786,3.449,1.786
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,SPP1,exclusion,GAPDH,18.387,26.652,8.265,-0.657,1.577,0.657
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,TGFB1,exclusion,GAPDH,18.387,27.304,8.917,-0.41,1.329,0.41
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,CA9,exclusion,GAPDH,18.387,27.526,9.139,-0.808,1.75,0.807
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep1,VEGFA,exclusion,GAPDH,18.387,25.328,6.941,-0.75,1.682,0.75
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,CXCL10,responder,GAPDH,18.307,26.235,7.928,-3.804,13.967,3.804
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,CXCL9,responder,GAPDH,18.307,26.961,8.654,-3.292,9.796,3.292
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,CXCL11,responder,GAPDH,18.307,28.378,10.071,-2.238,4.717,2.238
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,HLA-A,responder,GAPDH,18.307,23.623,5.316,-0.906,1.874,0.906
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,B2M,responder,GAPDH,18.307,23.034,4.727,-0.703,1.628,0.703
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,STAT1,responder,GAPDH,18.307,24.828,6.521,-1.262,2.398,1.262
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,IFIT1,responder,GAPDH,18.307,25.544,7.237,-2.404,5.293,2.404
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,CD274,checkpoint,GAPDH,18.307,26.548,8.241,-2.43,5.389,2.43
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,SPP1,exclusion,GAPDH,18.307,25.327,7.02,-1.902,3.737,1.902
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,TGFB1,exclusion,GAPDH,18.307,26.472,8.165,-1.162,2.238,1.162
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,CA9,exclusion,GAPDH,18.307,26.682,8.375,-1.572,2.972,1.571
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep2,VEGFA,exclusion,GAPDH,18.307,24.811,6.504,-1.187,2.277,1.187
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,CXCL10,responder,GAPDH,18.417,25.867,7.45,-4.282,19.454,4.282
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,CXCL9,responder,GAPDH,18.417,26.765,8.348,-3.598,12.111,3.598
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,CXCL11,responder,GAPDH,18.417,27.932,9.515,-2.794,6.936,2.794
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,HLA-A,responder,GAPDH,18.417,23.213,4.796,-1.426,2.687,1.426
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,B2M,responder,GAPDH,18.417,22.155,3.738,-1.692,3.232,1.692
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,STAT1,responder,GAPDH,18.417,24.011,5.594,-2.189,4.56,2.189
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,IFIT1,responder,GAPDH,18.417,26.069,7.652,-1.989,3.97,1.989
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,CD274,checkpoint,GAPDH,18.417,25.891,7.474,-3.197,9.17,3.197
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,SPP1,exclusion,GAPDH,18.417,25.83,7.413,-1.509,2.846,1.509
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,TGFB1,exclusion,GAPDH,18.417,26.147,7.73,-1.597,3.026,1.597
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,CA9,exclusion,GAPDH,18.417,26.688,8.271,-1.675,3.194,1.675
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep3,VEGFA,exclusion,GAPDH,18.417,25.197,6.78,-0.911,1.881,0.911
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,CXCL10,responder,GAPDH,18.606,27.629,9.023,-2.709,6.539,2.709
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,CXCL9,responder,GAPDH,18.606,27.42,8.814,-3.132,8.768,3.132
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,CXCL11,responder,GAPDH,18.606,28.151,9.545,-2.764,6.793,2.764
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,HLA-A,responder,GAPDH,18.606,23.904,5.298,-0.924,1.897,0.924
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,B2M,responder,GAPDH,18.606,23.647,5.041,-0.389,1.31,0.39
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,STAT1,responder,GAPDH,18.606,25.028,6.422,-1.361,2.569,1.361
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,IFIT1,responder,GAPDH,18.606,25.821,7.215,-2.426,5.374,2.426
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,CD274,checkpoint,GAPDH,18.606,27.599,8.993,-1.678,3.2,1.678
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,SPP1,exclusion,GAPDH,18.606,26.02,7.414,-1.508,2.844,1.508
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,TGFB1,exclusion,GAPDH,18.606,27.247,8.641,-0.686,1.609,0.686
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,CA9,exclusion,GAPDH,18.606,27.424,8.818,-1.129,2.186,1.128
tumor_qPCR,A549,G5,IFN + exclusion rescue,rescued responder-like state,BioRep4,VEGFA,exclusion,GAPDH,18.606,25.392,6.786,-0.905,1.873,0.905
